Trace
Swept SA
A.16.17,N9010A
5675100000,-106.884455172261
5680800000,-107.070711271727
5686500000,-106.47308032116
5692200000,-107.104174492884
5697900000,-106.867740397113
5703600000,-107.050975104096
5709300000,-107.170414518654
5715000000,-106.979199599133
5720700000,-107.098212459196
5726400000,-106.542868120857
5732100000,-107.229262455591
5737800000,-106.035632428182
5743500000,-107.037372205771
5749200000,-106.954404009993
5754900000,-107.187870897503
5760600000,-107.236641711379
5766300000,-106.534085239411
5772000000,-106.654761330898
5777700000,-107.006447817456
5783400000,-107.614687460406
5789100000,-106.940491479667
5794800000,-107.269862166388
5800500000,-106.996687523261
5806200000,-106.476634163923
5811900000,-106.823641791695
5817600000,-107.066495594901
5823300000,-106.311015909886
5829000000,-106.791946340554
5834700000,-106.479655630791
5840400000,-106.12492448552
5846100000,-106.445235904213
5851800000,-107.541364561713
5857500000,-106.793465232928
5863200000,-107.181860219452
5868900000,-106.852487162234
5874600000,-107.341924136155
5880300000,-107.480312402435
5886000000,-107.586499153652
5891700000,-107.371398283518
5897400000,-107.413340245686
5903100000,-107.808541918335
5908800000,-107.976285512816
5914500000,-107.113938775966
5920200000,-107.150330437062
5925900000,-107.308037105161
5931600000,-107.548388127038
5937300000,-101.899066685587
5943000000,-107.261857991795
5948700000,-107.437420065722
5954400000,-108.168336931289
5960100000,-107.507419798501
5965800000,-108.117766432199
5971500000,-107.105350846708
5977200000,-107.065312595119
5982900000,-107.793638458888
5988600000,-107.225935521144
5994300000,-107.76641082206
6000000000,-91.8651745861831
