Trace
Swept SA
A.16.17,N9010A
4837200000,-92.1067080672334
4842900000,-76.1269449717842
4848600000,-90.2031282821114
4854300000,-92.1845511167124
4860000000,-92.0781419181606
4865700000,-93.6909171681228
4871400000,-96.0379669072262
4877100000,-89.5372013656919
4882800000,-93.2807393879758
4888500000,-93.8914224579494
4894200000,-94.8842888689391
4899900000,-93.8710416909004
4905600000,-95.0228474638631
4911300000,-94.3388032836143
4917000000,-95.301230163586
4922700000,-99.4658164923871
4928400000,-100.196169658299
4934100000,-96.6581104416421
4939800000,-94.999406018095
4945500000,-99.9057225484409
4951200000,-98.9659583620475
4956900000,-96.076875198063
4962600000,-99.0321387727684
4968300000,-95.3976966480037
4974000000,-93.4604009227692
4979700000,-94.2649629732482
4985400000,-93.9415810700256
4991100000,-94.752607991435
4996800000,-99.7425598978464
5002500000,-69.3986078154273
5008200000,-97.6234875839808
5013900000,-94.3658669017631
5019600000,-95.2715408527672
5025300000,-95.9692626907323
5031000000,-93.7781776956465
5036700000,-91.574971052597
5042400000,-93.9546493794609
5048100000,-96.2636007517862
5053800000,-97.7953217926362
5059500000,-96.3682576297824
5065200000,-97.011532139097
5070900000,-97.4471624207048
5076600000,-95.5046382669524
5082300000,-96.399624092854
5088000000,-97.1735536497078
5093700000,-96.3758343120726
5099400000,-95.8951361612747
5105100000,-96.7617091863947
5110800000,-97.8536824712916
5116500000,-97.3806353534986
5122200000,-96.031042068978
5127900000,-98.9317796791804
5133600000,-99.5950454786491
5139300000,-99.4944188190733
5145000000,-100.326988110485
5150700000,-41.8730671234691
5156400000,-63.1665053343722
5162100000,-97.89178327551
5167800000,-99.3636231912712
5173500000,-100.333639600522
5179200000,-101.289727620628
5184900000,-99.3211819889681
5190600000,-99.468984987306
5196300000,-100.319016873609
5202000000,-99.052715959771
5207700000,-98.7605111667793
5213400000,-97.8394994710637
5219100000,-97.0766159092023
5224800000,-99.0790184710069
5230500000,-94.7942187766146
5236200000,-95.7800331108944
5241900000,-94.8375420360716
5247600000,-93.369161232119
5253300000,-95.6198438332908
5259000000,-94.6262120737197
5264700000,-94.6008051616671
5270400000,-93.4912528198881
5276100000,-96.6844147605344
5281800000,-93.8855715015865
5287500000,-94.3320398683315
5293200000,-96.1886021655266
5298900000,-100.039781539635
5304600000,-101.592944302783
5310300000,-74.8837910446152
5316000000,-92.3013184368718
5321700000,-92.8808252944786
5327400000,-95.3893580926023
5333100000,-95.7964959528306
5338800000,-95.5081201063519
5344500000,-99.4461660961294
5350200000,-93.7966484607544
5355900000,-93.690041398722
5361600000,-96.5875915765033
5367300000,-95.9497391526651
5373000000,-94.5914730591671
5378700000,-91.9567494683509
5384400000,-91.8979881167202
5390100000,-93.4557129008524
5395800000,-91.8046922276499
5401500000,-90.4700210777326
5407200000,-90.1161235054587
5412900000,-91.7322496239888
5418600000,-95.1538282785291
5424300000,-91.0175032790207
5430000000,-90.3346051634516
5435700000,-88.9724630848855
5441400000,-95.1263810416977
5447100000,-95.8683759364772
5452800000,-98.266832004775
5458500000,-96.5412093076857
5464200000,-98.579813444255
5469900000,-77.0015558436727
5475600000,-94.4533750491319
5481300000,-91.2564636526867
5487000000,-92.6533937748257
5492700000,-94.3434355642521
5498400000,-58.8593507565172
5504100000,-93.716782722642
5509800000,-91.2724139166128
5515500000,-92.1135270367169
5521200000,-92.4079920003763
5526900000,-89.1057191012918
5532600000,-87.9992628106543
5538300000,-89.8695971726892
5544000000,-92.6623556607075
5549700000,-90.9608696654845
5555400000,-92.7055593660357
5561100000,-92.4462702556121
5566800000,-93.1676262450546
5572500000,-93.2243297125159
5578200000,-89.6210769462395
5583900000,-90.8099863265815
5589600000,-92.4906989406972
5595300000,-91.4829739763338
5601000000,-92.4173354547974
5606700000,-96.9541392046807
5612400000,-96.4527618794401
5618100000,-96.7779214850805
5623800000,-80.190423845659
5629500000,-99.8568940377215
5635200000,-99.4259491024513
5640900000,-101.013033825084
5646600000,-100.55351141964
5652300000,-100.691243317168
5658000000,-100.984473089531
5663700000,-99.115847497911
5669400000,-98.7688934154516
5675100000,-99.1659088436471
5680800000,-101.000129905001
5686500000,-92.2592643108921
5692200000,-102.332669640883
5697900000,-102.565435239016
5703600000,-101.681904939414
5709300000,-96.874913382064
5715000000,-97.0979090832652
5720700000,-94.9683727505237
5726400000,-97.331507603191
5732100000,-99.4022658600991
5737800000,-99.2116878533459
